Intensity	-	Light intensity
Intensity		Moderate intensity
Intensity	+	Heavy intensity
Intensity	VC	In the vicinity
Descriptor	MI	Shallow
Descriptor	PR	Partial
Descriptor	BC	Patches
Descriptor	DR	Low drifting
Descriptor	BL	Blowing
Descriptor	SH	Showers
Descriptor	TS	Thunderstorm
Descriptor	FZ	Freezing
Precipitation	RA	Rain
Precipitation	DZ	Drizzle
Precipitation	SN	Snow
Precipitation	SG	Snow Grains
Precipitation	IC	Ice Crystals
Precipitation	PL	Ice Pellets
Precipitation	GR	Hail
Precipitation	GS	Graupel
Precipitation	UP	Unknown Precipitation
Obscuration	FG	Fog
Obscuration	VA	Volcanic Ash
Obscuration	BR	Mist
Obscuration	HZ	Haze
Obscuration	DU	Widespread Dust
Obscuration	FU	Smoke
Obscuration	SA	Sand
Obscuration	PY	Spray
Other	SQ	Squall
Other	PO	Dust
Other	DS	Duststorm
Other	SS	Sandstorm
Other	FC	Funnel Cloud